Kabupaten/Kota,,,,,,,,,,,,,,,,,,
,Banyaknya Hotel Bintang Menurut Kelas dan Kabupaten/Kota di Provinsi Bali,,,,,,,,,,,,,,,,,
,Bintang 5,,,Bintang 4,,,Bintang 3,,,Bintang 2,,,Bintang 1,,,Seluruh Kelas,,
,2019,2020,2021,2019,2020,2021,2019,2020,2021,2019,2020,2021,2019,2020,2021,2019,2020,2021
Kab. Jembrana,-,-,-,1,1,1,3,2,3,1,1,1,-,-,-,5,4,5
Kab. Tabanan,2,1,1,1,1,-,2,1,2,-,-,-,-,-,-,5,3,3
Kab. Badung,62,47,60,118,88,102,158,114,119,48,35,26,8,5,1,394,289,308
Kab. Gianyar,6,10,11,10,12,12,4,8,6,1,1,1,2,1,1,23,32,31
Kab. Klungkung,-,-,1,-,1,-,-,-,2,-,-,-,2,5,-,2,6,3
Kab. Bangli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Karangasem,-,1,1,4,3,4,3,2,3,1,-,1,-,-,-,8,6,9
Kab. Buleleng,2,-,1,4,3,4,11,6,4,3,3,2,-,-,-,20,12,11
Kota Denpasar,6,3,3,6,7,11,15,7,8,18,11,11,5,-,-,50,28,33
Provinsi Bali,78,62,78,144,116,134,196,140,147,72,51,42,17,11,2,507,380,403